income,age,loan
33776.69142,43,11528
35947.48663,39.5,13991
34565.1727,44.4,11330
25554.91229,49.9,6868
35415.47082,39.1,14243
35902.54009,39.7,13089
24924.17117,49.2,8432
33910.13187,45,7690
33484.32018,37.7,11627
34276.80374,43.7,9187
33070.25165,37.5,12402
33907.61097,38,11837
36196.51727,41.9,12030
26051.62832,30.7,14660
33674.65606,37,12153
32582.57851,34.1,16502
35359.88339,42.7,12311
32296.0693,36,12404
29428.90132,32.2,16095
26518.30918,49.1,7542
34451.21131,39.5,12155
33744.70545,40.2,11498
27741.1991,31.5,17134
33730.48152,37.5,14633
33505.43553,41.6,12643
29854.57251,33.3,15330
33279.68924,42.1,11138
34090.00516,36.5,15609
35812.99519,38.8,13534
32361.20295,36.9,13368
34730.49554,40.7,12048
30850.98068,34.5,16351
33946.00173,45.6,8744
29977.6212,33.5,16112
34331.87886,41.5,9758
28774.31011,32.9,13609
33532.17143,41.6,12251
31601.68266,44.3,10398
34003.54274,41.4,12047
36178.21092,39,12950
34817.5248,38.8,13887
27320.00753,31.9,15758
31859.77462,36.8,15558
33641.3227,38,11380
31301.2809,46.5,9671
34420.15957,42.3,9980
22755.5516,30,17142
33491.64133,42,12921
34806.72979,38,12028
32401.54579,36.8,12016
32675.94496,44.4,11041
32111.44236,46.3,8295
33213.64059,46.5,9881
31483.2429,35.5,14388
35563.00011,38.7,11780
35338.98399,42.9,10886
30331.16747,46.5,8890
33910.06808,37,13055
36051.14705,39.6,13095
29968.38144,33.7,15938
29475.4832,33.5,13701
31954.13769,45.7,9225
28614.91069,48.4,7198
35442.58158,40.3,10935
30571.50006,46.2,9052
35968.6561,42.9,9897
32122.3672,36.5,13732
33647.15567,42.2,9671
27410.76152,49.1,8147
33542.42552,40.9,10772
25360.6007,50,7065
31752.71309,45.8,9106
33736.43838,41.5,9554
35871.95621,38.4,12654
34347.16241,41.9,12260
33751.68701,39.3,13991
33563.64065,42.9,10367
26309.0123,50,8315
34683.22491,37.9,11734
31954.92989,35.8,15978
34876.35651,37.8,12963
32782.14951,45.3,7562
34393.53687,42.9,10581
34611.92995,37.2,14188
33352.79863,44,11798
35729.7426,41.2,11734
30966.75122,46.6,8444
32655.1656,36.7,15466
33281.05408,38.7,11715
34695.66543,38.8,12882
27974.07633,32,17614
34942.99509,42.8,8823
35871.80946,42.7,9772
36293.10273,40.5,12013
35898.76252,39.1,10781
28309.75074,32.2,16337
35785.60917,37.8,14351
33375.19549,38.4,13968
34133.966,35.8,12244
36057.16416,39.9,10146
34569.73785,42,11626
34483.89666,41.6,10012
33487.40633,42.5,12376
33744.7461,40.8,12556
36286.21991,40.8,10519
33559.96569,40.4,12585
33644.42425,39.6,12152
33534.90091,42.1,11827
34156.77358,40.3,10245
30135.40854,33.2,13953
30650.68962,47.9,8350
33563.00877,45.9,10769
32227.22835,45.7,9920
31834.24291,35.3,12791
26747.61152,48.1,8922
28865.69552,33,16488
32747.19104,44.8,10183
32481.28968,34.9,16259
35319.17884,37.2,12410
35569.8311,41.5,10299
33482.97832,38,11329
27256.66429,31.9,14661
35382.13445,40.5,12560
32422.15618,34.9,16185
34830.91295,43.6,11186
32463.48421,34.1,13768
25974.63477,49.8,8560
34005.00363,35.1,12749
34313.16547,38.4,10950
31950.51104,45.1,7969
30907.67235,33.7,14715
34931.73658,41.8,9682
30141.92499,48.7,8280
24905.63432,30.4,16423
36346.49213,41.1,11279
34558.77067,42.5,9947
31990.22174,45.3,7809
30230.59348,33.5,16877
29949.83933,32.5,14505
33798.65669,43.7,11268
34085.78653,42.2,9440
35350.7568,42.8,10757
35154.0541,43,10356
33158.1459,36.9,12220
34228.01676,41.5,12113
33525.86848,42.4,9257
32567.2324,36.2,14329
33687.11375,43.6,11770
31327.21011,33.1,15343
32936.90986,44.5,9830
32700.97643,34.8,13042
34268.46298,45.7,8535
30374.04419,47.8,7307
31498.44952,35.4,15656
32707.39958,46.7,10285
34986.69438,42.5,11511
33791.34919,45.3,8448
35874.83212,40,10852
33567.08123,36,15757
33191.88581,35.8,14945
33017.11954,35.1,14069
33893.7292,40.5,13078
