house_age,distance_to_MTR_station,num_of_convenience_store,house_price
32,4.041444548,6,37.9
19.5,3.223236256,7,42.2
13.3,5.243473954,8,47.3
13.3,5.5169255,8,54.8
5,2.163918807,7,43.1
7.1,5.438452448,5,32.1
34.5,1.310355429,9,40.3
20.3,0.849493058,7,46.7
31.7,5.162309216,1,18.8
17.9,3.51938096,5,22.1
34.8,2.461359381,7,41.4
6.3,3.784228207,5,58.1
13,2.443151128,6,39.3
20.4,4.896050308,6,23.8
13.2,2.273586091,0,34.3
35.7,3.371479499,2,50.5
0,5.081198415,9,70.1
17.7,5.299007199,8,37.4
16.9,2.083123496,4,42.3
1.5,3.457390043,9,47.7
4.5,4.772465245,8,29.3
10.5,2.429690331,4,51.6
14.7,5.231407261,7,24.6
10.1,2.985389566,8,47.9
39.6,5.311764059,9,38.8
29.3,3.189233366,1,27
3.1,1.079055227,7,56.2
10.4,2.151925479,0,33.6
19.2,1.616425286,9,47
7.1,5.309454674,7,57.1
25.9,2.728021775,5,22.1
29.6,3.917610234,7,25
37.9,5.870598052,2,34.2
16.5,5.25419632,4,49.3
15.4,1.172970243,4,55.1
13.9,3.804857852,9,27.3
14.7,1.538915708,9,22.9
12,4.154053639,9,25.3
3.1,5.292270763,2,47.7
16.2,4.455394988,6,46.2
13.6,2.656656228,3,15.9
16.8,5.081469375,1,18.2
36.1,5.636422118,0,34.7
34.4,3.557242405,2,34.1
2.7,5.101921631,9,53.9
36.6,5.771640342,9,38.3
21.7,4.345868838,3,42
35.9,4.041562727,1,61.5
24.2,6.347220032,9,13.4
29.4,2.475980349,4,13.2
21.7,4.384212775,8,44.2
31.3,4.361384811,4,20.7
32.1,5.085026168,2,27
13.3,2.727698713,2,38.9
16.1,4.768738541,4,51.7
31.7,5.971840322,7,13.7
33.6,4.299071437,9,41.9
3.5,4.542513431,7,53.5
30.3,4.797551006,8,22.6
13.3,5.779311295,7,42.4
11,5.655787091,2,21.3
5.3,4.745930289,7,63.2
17.2,2.84791088,6,27.7
2.6,2.402114524,9,55
17.5,3.047715637,2,25.3
40.1,0.941988785,2,44.3
1,4.003775065,8,50.7
8.5,3.069470839,10,56.8
30.4,3.831253024,9,36.2
12.5,1.600817085,7,42
6.6,5.47258718,4,59
35.5,1.096325652,4,40.8
32.5,4.870387978,6,36.3
13.8,4.956134225,4,20
6.8,1.199084593,6,54.4
12.3,5.130572859,6,29.5
35.9,5.244111484,8,36.8
20.5,1.365387361,7,25.6
38.2,3.61325535,9,29.8
18,4.741313333,2,26.5
11.8,1.470862634,8,40.3
30.8,1.570699947,10,36.8
13.2,4.053864943,5,48.1
25.3,2.259867593,7,17.7
15.1,5.23678011,2,43.7
0,2.460066239,1,50.8
1.8,1.779155581,0,27
16.9,2.707914384,0,18.3
8.9,1.274796648,4,48
23,6.152390923,7,25.3
0,3.508849985,2,45.4
9.1,2.261011271,4,43.2
20.6,3.13170085,5,21.8
31.9,3.756470527,7,16.1
40.9,2.696522983,8,41
8,4.091196101,9,51.8
6.4,5.281279309,0,59.5
28.4,2.17646116,3,34.6
16.4,1.44549625,3,51
6.4,1.651388551,7,62.2
17.5,1.681432412,1,38.2
12.7,3.662193872,0,32.9
1.1,1.330271113,1,54.4
0,4.011543013,8,45.7
32.7,4.748246009,7,30.5
0,0.57660048,6,71
17.2,5.803101995,3,47.1
12.2,1.884530973,1,26.6
31.4,2.960167085,8,34.1
4,3.575910338,2,28.4
8.1,2.003633345,8,51.6
33.3,5.736831659,4,39.4
9.9,3.34979879,10,23.1
14.8,3.598419788,10,7.6
30.6,5.38687845,9,53.3
20.6,0.931222025,10,46.4
30.9,6.505831281,3,12.2
13.6,1.967742034,8,13
25.3,4.053911209,2,30.6
16.6,2.642368128,9,59.6
13.3,3.803653432,7,31.3
13.6,4.234664294,9,48
31.5,1.430671946,8,32.5
0,5.045756306,1,45.5
9.9,3.420180578,4,57.4
1.1,1.211823398,1,48.6
38.6,5.41109305,5,62.9
3.8,1.301913143,3,55
41.3,0.824885097,2,60.7
38.5,4.852681948,6,41
29.6,3.133572174,2,37.5
4,2.090679181,0,30.7
26.6,1.309675563,5,37.5
18,5.922363729,7,39.5
33.4,3.613156917,4,42.2
18.9,6.375367681,1,20.8
11.4,3.663736479,1,46.8
13.6,2.674577771,6,47.4
