CustomerID,Age,Spending,PreferredCuisine,VisitFrequency,Membership
1,55,2970.84,Italian,Occasionally,Yes
2,52,1149.51,Mexican,Occasionally,Yes
3,77,4242.23,Korean,Semi-monthly,No
4,31,2070.74,Korean,Occasionally,No
5,69,4851.51,Korean,Occasionally,No
6,61,1866.36,Italian,Semi-monthly,No
7,46,3663.7,Chinese,Occasionally,Yes
8,60,718.77,Japanese,Weekly,Yes
9,76,1149.64,Japanese,Monthly,Yes
10,54,458.76,Mexican,Monthly,No
11,46,1453.8,Korean,Occasionally,Yes
12,70,4977.94,Japanese,Occasionally,Yes
13,59,3739.88,Chinese,Semi-monthly,No
14,25,1481.45,Korean,Weekly,No
15,32,2304,Chinese,Semi-monthly,Yes
16,18,4186.44,Italian,Occasionally,Yes
17,52,2365.75,Chinese,Monthly,Yes
18,23,1616.75,Italian,Monthly,Yes
19,46,4796.91,Italian,Occasionally,Yes
20,41,4033.74,Chinese,Weekly,No
21,47,2656.51,Chinese,Monthly,No
22,65,4567.92,Chinese,Weekly,Yes
23,40,4853.69,Japanese,Monthly,Yes
24,66,4152.31,Mexican,Semi-monthly,Yes
25,36,2386.16,Japanese,Occasionally,Yes
26,53,2462.06,Mexican,Monthly,No
27,74,1991.22,Chinese,Occasionally,No
28,74,1893.2,Japanese,Weekly,Yes
29,36,1649.72,Japanese,Semi-monthly,No
30,67,361.36,Japanese,Semi-monthly,Yes
31,43,4050.51,Indian,Weekly,No
32,21,4691.57,Chinese,Weekly,Yes
33,77,792.44,Chinese,Weekly,Yes
34,72,3555.01,Indian,Semi-monthly,Yes
35,21,3917.45,Indian,Weekly,No
36,72,1055.17,Indian,Monthly,Yes
37,69,844.64,Japanese,Occasionally,No
38,74,783.67,Indian,Semi-monthly,No
39,31,4463.76,Japanese,Occasionally,No
40,46,4671.32,Japanese,Weekly,No
41,72,1239.5,Mexican,Occasionally,No
42,23,751.45,Mexican,Occasionally,No
43,75,4386.75,Italian,Semi-monthly,No
44,78,2132.93,Korean,Weekly,No
45,63,2383.79,Indian,Semi-monthly,Yes
46,80,3619.33,Chinese,Weekly,Yes
47,27,2024.8,Japanese,Weekly,No
48,68,3598.16,Italian,Monthly,Yes
49,43,2989.8,Japanese,Occasionally,No
50,52,2040.36,Korean,Semi-monthly,No
51,20,3711.46,Italian,Weekly,No
52,72,1007.12,Chinese,Occasionally,No
53,44,3214.34,Italian,Occasionally,Yes
54,69,3528.65,Chinese,Occasionally,No
55,55,1879.66,Italian,Semi-monthly,No
56,28,3373.68,Japanese,Occasionally,No
57,75,3220.97,Mexican,Semi-monthly,No
58,41,4150.38,Mexican,Occasionally,No
59,72,553.19,Korean,Semi-monthly,Yes
60,64,2085.76,Indian,Semi-monthly,No
61,46,1963.21,Japanese,Monthly,No
62,59,1568.83,Indian,Weekly,No
63,31,1501.85,Italian,Occasionally,No
64,25,1125.16,Korean,Weekly,Yes
65,62,3836.18,Chinese,Occasionally,No
66,51,1863,Korean,Weekly,Yes
67,53,2118.32,Chinese,Semi-monthly,Yes
68,49,789.86,Korean,Occasionally,No
69,59,4020.94,Chinese,Monthly,No
70,46,4040.3,Mexican,Weekly,No
71,43,3789.11,Mexican,Semi-monthly,Yes
72,59,3181.36,Italian,Weekly,Yes
73,45,3662.47,Chinese,Occasionally,No
74,37,563.41,Italian,Weekly,No
75,43,972.32,Chinese,Occasionally,Yes
76,61,532.05,Japanese,Monthly,No
77,36,2869.25,Japanese,Monthly,Yes
78,20,389.37,Mexican,Monthly,Yes
79,42,1937.44,Italian,Weekly,No
80,69,985.41,Chinese,Semi-monthly,No
81,45,3869.96,Chinese,Weekly,Yes
82,41,4214.38,Japanese,Semi-monthly,Yes
83,19,489.69,Indian,Monthly,No
84,40,1041.58,Japanese,Weekly,Yes
85,53,2171.65,Japanese,Semi-monthly,Yes
86,49,3168.64,Italian,Occasionally,Yes
87,45,2401.45,Mexican,Weekly,Yes
88,39,1988.22,Korean,Weekly,Yes
89,40,844.79,Indian,Weekly,Yes
90,74,4006.55,Korean,Semi-monthly,No
91,59,3102.14,Mexican,Monthly,Yes
92,66,3184.3,Indian,Semi-monthly,Yes
93,69,915.18,Japanese,Semi-monthly,No
94,38,2011.31,Chinese,Monthly,Yes
95,19,2319.24,Mexican,Weekly,No
96,26,4754.76,Mexican,Semi-monthly,No
97,57,240.83,Mexican,Monthly,No
98,42,2761.38,Japanese,Monthly,No
99,18,325.65,Japanese,Monthly,Yes
100,71,705.71,Indian,Weekly,No
101,35,860.94,Japanese,Semi-monthly,Yes
102,22,2559.68,Italian,Weekly,Yes
103,58,1563.42,Italian,Semi-monthly,No
104,24,3061.5,Italian,Occasionally,No
105,19,682.31,Indian,Weekly,No
106,35,3004.01,Indian,Weekly,No
107,55,384.19,Italian,Semi-monthly,No
108,48,1475.2,Chinese,Semi-monthly,No
109,30,3307.19,Korean,Weekly,Yes
110,19,660.4,Japanese,Monthly,No
111,68,771.09,Indian,Occasionally,No
112,69,4148.47,Chinese,Semi-monthly,Yes
113,45,1566.17,Chinese,Weekly,Yes
114,28,3068.04,Japanese,Semi-monthly,No
115,18,1906.94,Chinese,Semi-monthly,No
116,73,2740.4,Indian,Occasionally,No
117,80,4040.52,Italian,Occasionally,Yes
118,21,1220.17,Japanese,Occasionally,No
119,52,1234.27,Mexican,Occasionally,No
120,66,233.45,Mexican,Monthly,Yes
121,19,2889.02,Japanese,Weekly,No
122,22,3029,Mexican,Monthly,Yes
123,29,3222.98,Indian,Semi-monthly,Yes
124,62,1902.86,Italian,Occasionally,No
125,53,2906.32,Italian,Occasionally,No
126,48,316.69,Korean,Monthly,Yes
127,21,2058.35,Italian,Monthly,Yes
128,66,1048.83,Korean,Weekly,No
129,79,2485.8,Chinese,Weekly,No
130,78,2919.51,Indian,Semi-monthly,Yes
131,76,4770.27,Chinese,Semi-monthly,No
132,61,3466.24,Korean,Monthly,No
133,31,679.24,Indian,Weekly,No
134,35,2728.71,Japanese,Weekly,No
135,78,4657.96,Mexican,Semi-monthly,Yes
136,72,605.32,Italian,Monthly,No
137,70,749.68,Mexican,Occasionally,Yes
138,20,2340.7,Japanese,Semi-monthly,Yes
139,77,3889.63,Chinese,Monthly,Yes
140,32,4919.17,Japanese,Monthly,Yes
141,49,4439.21,Chinese,Semi-monthly,Yes
142,21,2001.75,Italian,Weekly,No
143,66,2253.71,Mexican,Occasionally,Yes
144,41,779.3,Italian,Occasionally,No
145,25,3813.12,Japanese,Occasionally,Yes
146,24,4928.2,Indian,Monthly,No
147,60,338.4,Indian,Occasionally,No
148,23,2677.13,Korean,Weekly,No
149,68,2599.02,Japanese,Weekly,No
150,25,4897.09,Chinese,Monthly,No
